Time (Ga),PCO2 (bar)
0.017851317,0.00029704
0.064565687,0.000320169
0.108382276,0.000343798
0.152197446,0.000369769
0.196011671,0.00039813
0.239823059,0.000430057
0.283628773,0.000467561
0.3288619,0.000506732
0.372236459,0.000553292
0.415021331,0.000617954
0.457837951,0.00070268
0.497717548,0.000806126
0.533637514,0.000921123
0.566837165,0.001056553
0.601914638,0.001211003
0.637697174,0.001386255
0.674324062,0.001578632
0.714218179,0.001781276
0.756100324,0.001990479
0.798833912,0.002232754
0.844615383,0.002479934
0.888423934,0.002687488
0.931908303,0.002885179
0.976042928,0.003149361
1.017419345,0.003183522
1.063702109,0.003525211
1.107527208,0.003748799
1.151349943,0.003997334
1.195174097,0.004255455
1.238999669,0.004522917
1.282826659,0.004799417
1.326653176,0.005095569
1.370479694,0.005409994
1.414306211,0.005743822
1.45813462,0.006085104
1.501959719,0.006471053
1.545784345,0.006885195
1.589608499,0.007329793
1.633435962,0.007773692
1.677262479,0.008253373
1.721084269,0.008810049
1.764908895,0.009373884
1.808730685,0.010006137
1.852547746,0.010738806
1.896361025,0.011574967
1.941785759,0.012252582
1.986717849,0.013937384
2.026848842,0.014532165
2.070159007,0.016488766
2.115355792,0.018273876
2.159141885,0.020317255
2.199826316,0.02256612
2.245715474,0.025153675
2.287454499,0.028128924
2.330285674,0.0314588
2.373301579,0.03539316
2.416893048,0.039561116
2.460785302,0.044176516
2.504153529,0.049002804
2.549196651,0.054647612
2.59389475,0.061352669
2.637526986,0.066769836
2.681486321,0.074181748
2.723367519,0.081272388
2.768163391,0.089077741
2.811973833,0.096324901
2.855784275,0.104161675
2.899597555,0.112272064
2.943417453,0.120103497
2.987243498,0.127583371
3.031073325,0.134945472
3.074912135,0.14127698
3.118752836,0.147586761
3.162598266,0.153348907
3.206442749,0.159508015
3.25029007,0.16537837
3.294133135,0.172299235
3.337977146,0.179316167
3.381823049,0.186216628
3.425676988,0.19161736
3.469528091,0.197813932
3.513370684,0.206203384
3.557218005,0.213792263
3.60106958,0.22058691
3.644921629,0.227474761
3.68877415,0.234451182
3.732626199,0.241771947
3.776477302,0.249590431
3.820328405,0.257661752
3.864180453,0.265707269
3.908032029,0.274151855
3.951884551,0.282559815
3.985284623,0.285085992
