Time (Ga),Cont (Tmol/yr)
0,7.564766839
0.032,7.616165803
0.05493469,7.653019888
0.09897201,7.694878253
0.14300933,7.748522395
0.18704665,7.795095071
0.231083969,7.844024903
0.275121289,7.890597579
0.319158609,7.932455944
0.363195929,7.976671465
0.407233249,8.006744053
0.451270568,8.036816642
0.495307888,8.050389142
0.539345208,8.063961643
0.583382528,8.056319745
0.627419847,8.036892071
0.671457167,8.029250173
0.715494487,8.009822498
0.759531807,7.992751979
0.803569126,8.00632448
0.847606446,8.01989698
0.891643766,8.047612413
0.935681086,8.089470779
0.979718405,8.131329144
1.023755725,8.182616131
1.067793045,8.243331739
1.111830365,8.306404503
1.155867684,8.360048645
1.199905004,8.418407098
1.243942324,8.474408396
1.287979644,8.525695383
1.332016964,8.584053836
1.376054283,8.649483755
1.420091603,8.703127897
1.464128923,8.773272127
1.508166243,8.845773513
1.552203562,8.908846276
1.596240882,8.974276195
1.640278202,9.044420425
1.684315522,9.107493189
1.728352841,9.168208798
1.772390161,9.231281561
1.816427481,9.287282859
1.860464801,9.347998467
1.90450212,9.411071231
1.94853944,9.462358218
1.99257676,9.508930894
2.03661408,9.557860726
2.080651399,9.604433402
2.124688719,9.632148835
2.168726039,9.659864268
2.212763359,9.687579701
2.256800679,9.705866512
2.300837998,9.726510479
2.344875318,9.747154446
2.388912638,9.751298325
2.432949958,9.755442204
2.476987277,9.776086171
2.521024597,9.784944361
2.565061917,9.800874017
2.609099237,9.800303586
2.653136556,9.799733154
2.697173876,9.799162722
2.741211196,9.798592291
2.785248516,9.786236082
2.829285835,9.785665651
2.873323155,9.796880996
2.917360475,9.808096341
2.961397795,9.826383153
3.005435115,9.858812897
3.049472434,9.89124264
3.093509754,9.935458161
3.137547074,9.998530925
3.181584394,10.06160369
3.225621713,10.12939076
3.269659033,10.21839224
3.313696353,10.30503655
3.357733673,10.40110949
3.401770992,10.49718243
3.445808312,10.59561253
3.489845632,10.69875693
3.533882952,10.81132996
3.577920271,10.9286173
3.621957591,11.04119032
3.665994911,11.15612051
3.710032231,11.28990793
3.75406955,11.42840967
3.79810687,11.55983994
3.84214419,11.71484176
3.88618151,11.87691505
3.929885213,12.03034976
3.974256149,12.23877612
4.003080577,12.3440033
