Time (Ga),Seaf (Tmol/yr)
0.00E+00,0.426894344
0.15,0.458
0.288699403,0.480256137
0.494924578,0.960512273
0.635183576,1.600853789
0.758978534,2.614727855
0.903387649,3.575240128
1.018882373,3.948772679
1.167357986,4.215581644
1.489042678,4.642475987
1.757123524,5.122732124
1.988112973,5.869797225
2.128389574,6.723585912
2.210934216,7.5773746
2.301730682,8.48452508
2.388407838,9.445037353
2.495725555,10.67235859
2.586539625,11.79295624
2.706259283,13.39381003
2.784711021,14.62113127
2.875547096,16.00853789
2.945751411,17.23585912
3.028348865,18.72998933
3.094442672,20.11739594
3.156412767,21.50480256
3.226647889,23.10565635
3.350667297,26.84098186
3.441644203,29.93596585
3.561667529,35.21878335
3.627946176,38.84738527
3.723332857,45.41088581
3.773182673,49.83991462
