variable,species name,species col name
woll,wollastonite,wollastonite
enst,enstatite,enstatite
ferr,ferrosilite,ferrosilite
fors,forsterite,forsterite
faya,fayalite,fayalite
anor,anorthite,anorthite
kfel,K-feldspar,K.feldspar
albi,albite,albite
musc,muscovite,muscovite
phlo,phlogopite,phlogopite
anni,annite,annite
anth,anthophyllite,anthophyllite
grun,grunerite,grunerite
kaol,kaolinite,kaolinite
hall,halloysite,halloysite
capp,Ca+2,Ca.2
sodp,Na+,Na.
potp,K+,K.
mgpp,Mg+2,Mg.2
fepp,Fe+2,Fe.2
sioa,SiO2,SiO2
bica,HCO3-,HCO3.
carb,CO3-2,CO3.2
hplu,H+,H.
ohmi,OH-,OH.
wate,water,water
quar,quartz,quartz
co2g,carbon dioxide,carbon.dioxide
co2a,CO2,CO2
co2b,CO2,CO2
co2c,CO2,CO2
